"CountryCode" "Income.Group" "Short.Name"
"TUV" "Lower middle income" "Tuvalu"
"TZA" "Low income" "Tanzania"
"UGA" "Low income" "Uganda"
"UKR" "Lower middle income" "Ukraine"
"UMC" "" "Upper middle income"
"URY" "Upper middle income" "Uruguay"
"USA" "High income: OECD" "United States"
"UZB" "Lower middle income" "Uzbekistan"
"VCT" "Upper middle income" "St. Vincent and the Grenadines"
"VEN" "Upper middle income" "Venezuela"
"VIR" "High income: nonOECD" "Virgin Islands"
"VNM" "Lower middle income" "Vietnam"
"VUT" "Lower middle income" "Vanuatu"
"WBG" "Lower middle income" "West Bank and Gaza"
"WLD" "" "World"
"WSM" "Lower middle income" "Samoa"
"YEM" "Lower middle income" "Yemen"
"ZAF" "Upper middle income" "South Africa"
"ZAR" "Low income" "Dem. Rep. Congo"
"ZMB" "Low income" "Zambia"
"ZWE" "Low income" "Zimbabwe"
