"CountryCode" "CountryName" "GDP" "Income.Group"
"ECU" "Ecuador" 84040 "Lower middle income"
"EGY" "Egypt, Arab Rep." 262832 "Lower middle income"
"ERI" "Eritrea" 3092 "Low income"
"ESP" "Spain" 1322965 "High income: OECD"
"EST" "Estonia" 22390 "High income: nonOECD"
"ETH" "Ethiopia" 41605 "Low income"
"FIN" "Finland" 247546 "High income: OECD"
"FJI" "Fiji" 3908 "Upper middle income"
"FRA" "France" 2612878 "High income: OECD"
"FSM" "Micronesia, Fed. Sts." 326 "Lower middle income"
"GAB" "Gabon" 18377 "Upper middle income"
"GBR" "United Kingdom" 2471784 "High income: OECD"
"GEO" "Georgia" 15747 "Lower middle income"
"GHA" "Ghana" 40711 "Low income"
"GIN" "Guinea" 5632 "Low income"
"GMB" "Gambia, The" 917 "Low income"
"GNB" "Guinea-Bissau" 822 "Low income"
"GNQ" "Equatorial Guinea" 17697 "High income: nonOECD"
"GRC" "Greece" 249099 "High income: OECD"
"GRD" "Grenada" 767 "Upper middle income"
"GTM" "Guatemala" 50234 "Lower middle income"
"GUY" "Guyana" 2851 "Lower middle income"
"HKG" "Hong Kong SAR, China" 263259 "High income: nonOECD"
"HND" "Honduras" 18434 "Lower middle income"
"HRV" "Croatia" 59228 "High income: nonOECD"
"HTI" "Haiti" 7843 "Low income"
"HUN" "Hungary" 124600 "High income: OECD"
"IDN" "Indonesia" 878043 "Lower middle income"
"IND" "India" 1841710 "Lower middle income"
"IRL" "Ireland" 210771 "High income: OECD"
"IRN" "Iran, Islamic Rep." 514060 "Upper middle income"
"IRQ" "Iraq" 210280 "Lower middle income"
"ISL" "Iceland" 13579 "High income: OECD"
"ISR" "Israel" 258217 "High income: OECD"
"ITA" "Italy" 2014670 "High income: OECD"
"JAM" "Jamaica" 14755 "Upper middle income"
"JOR" "Jordan" 31015 "Lower middle income"
"JPN" "Japan" 5959718 "High income: OECD"
"KAZ" "Kazakhstan" 203521 "Upper middle income"
"KEN" "Kenya" 40697 "Low income"
"KGZ" "Kyrgyz Republic" 6475 "Low income"
"KHM" "Cambodia" 14038 "Low income"
"KIR" "Kiribati" 175 "Lower middle income"
"KNA" "St. Kitts and Nevis" 767 "Upper middle income"
"KOR" "Korea, Rep." 1129598 "High income: OECD"
"KSV" "Kosovo" 6445 "Lower middle income"
"KWT" "Kuwait" 160913 "High income: nonOECD"
"LAO" "Lao PDR" 9418 "Low income"
"LBN" "Lebanon" 42945 "Upper middle income"
"LBR" "Liberia" 1734 "Low income"
"LCA" "St. Lucia" 1239 "Upper middle income"
"LKA" "Sri Lanka" 59423 "Lower middle income"
"LSO" "Lesotho" 2448 "Lower middle income"
"LTU" "Lithuania" 42344 "Upper middle income"
"LUX" "Luxembourg" 55178 "High income: OECD"
"LVA" "Latvia" 28373 "High income: nonOECD"
"MAC" "Macao SAR, China" 43582 "High income: nonOECD"
"MAR" "Morocco" 95982 "Lower middle income"
"MCO" "Monaco" 6075 "High income: nonOECD"
"MDA" "Moldova" 7253 "Lower middle income"
"MDG" "Madagascar" 9975 "Low income"
"MDV" "Maldives" 2222 "Lower middle income"
"MEX" "Mexico" 1178126 "Upper middle income"
"MHL" "Marshall Islands" 182 "Lower middle income"
"MKD" "Macedonia, FYR" 9613 "Upper middle income"
"MLI" "Mali" 10308 "Low income"
"MLT" "Malta" 8722 "High income: nonOECD"
"MNE" "Montenegro" 4373 "Upper middle income"
"MNG" "Mongolia" 10271 "Lower middle income"
"MOZ" "Mozambique" 14244 "Low income"
"MRT" "Mauritania" 4199 "Low income"
"MUS" "Mauritius" 10486 "Upper middle income"
"MWI" "Malawi" 4264 "Low income"
"MYS" "Malaysia" 305033 "Upper middle income"
"NAM" "Namibia" 13072 "Upper middle income"
"NER" "Niger" 6773 "Low income"
"NGA" "Nigeria" 262597 "Lower middle income"
"NIC" "Nicaragua" 10507 "Lower middle income"
"NLD" "Netherlands" 770555 "High income: OECD"
"NOR" "Norway" 499667 "High income: OECD"
"NPL" "Nepal" 18963 "Low income"
"NZL" "New Zealand" 167347 "High income: OECD"
"OMN" "Oman" 69972 "High income: nonOECD"
"PAK" "Pakistan" 225143 "Lower middle income"
"PAN" "Panama" 36253 "Upper middle income"
"PER" "Peru" 203790 "Upper middle income"
"PHL" "Philippines" 250182 "Lower middle income"
"PLW" "Palau" 228 "Upper middle income"
"PNG" "Papua New Guinea" 15654 "Lower middle income"
"POL" "Poland" 489795 "High income: OECD"
"PRI" "Puerto Rico" 101496 "High income: nonOECD"
"PRT" "Portugal" 212274 "High income: OECD"
"PRY" "Paraguay" 25502 "Lower middle income"
"QAT" "Qatar" 171476 "High income: nonOECD"
"ROM" "Romania" 192711 "Upper middle income"
"RUS" "Russian Federation" 2014775 "Upper middle income"
"RWA" "Rwanda" 7103 "Low income"
"SAU" "Saudi Arabia" 711050 "High income: nonOECD"
"SDN" "Sudan" 58769 "Lower middle income"
"SEN" "Senegal" 14046 "Lower middle income"
"SGP" "Singapore" 274701 "High income: nonOECD"
"SLB" "Solomon Islands" 1008 "Low income"
"SLE" "Sierra Leone" 3796 "Low income"
"SLV" "El Salvador" 23864 "Lower middle income"
"SRB" "Serbia" 37489 "Upper middle income"
"STP" "S�o Tom� and Principe" 263 "Lower middle income"
"SUR" "Suriname" 5012 "Upper middle income"
"SVK" "Slovak Republic" 91149 "High income: OECD"
"SVN" "Slovenia" 45279 "High income: OECD"
"SWE" "Sweden" 523806 "High income: OECD"
"SWZ" "Swaziland" 3744 "Lower middle income"
"SYC" "Seychelles" 1129 "Upper middle income"
"SYR" "Syrian Arab Republic" 73672 "Lower middle income"
"TCD" "Chad" 12887 "Low income"
"TGO" "Togo" 3814 "Low income"
"THA" "Thailand" 365966 "Lower middle income"
"TJK" "Tajikistan" 6972 "Low income"
"TKM" "Turkmenistan" 35164 "Lower middle income"
"TMP" "Timor-Leste" 1293 "Lower middle income"
"TON" "Tonga" 472 "Lower middle income"
"TTO" "Trinidad and Tobago" 23320 "High income: nonOECD"
"TUN" "Tunisia" 45662 "Lower middle income"
"TUR" "Turkey" 789257 "Upper middle income"
"TUV" "Tuvalu" 40 "Lower middle income"
"TZA" "Tanzania" 28242 "Low income"
"UGA" "Uganda" 19881 "Low income"
"UKR" "Ukraine" 176309 "Lower middle income"
"URY" "Uruguay" 49920 "Upper middle income"
"USA" "United States" 16244600 "High income: OECD"
"UZB" "Uzbekistan" 51113 "Lower middle income"
"VCT" "St. Vincent and the Grenadines" 713 "Upper middle income"
"VEN" "Venezuela, RB" 381286 "Upper middle income"
"VNM" "Vietnam" 155820 "Lower middle income"
"VUT" "Vanuatu" 787 "Lower middle income"
"WSM" "Samoa" 684 "Lower middle income"
"YEM" "Yemen, Rep." 35646 "Lower middle income"
"ZAF" "South Africa" 384313 "Upper middle income"
"ZAR" "Congo, Dem. Rep." 17204 "Low income"
"ZMB" "Zambia" 20678 "Low income"
"ZWE" "Zimbabwe" 9802 "Low income"
